Schedule = guided | Threads = 2 | Chunk = 1
Elapsed time = 2.994808e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 2.971854e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 2.935105e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 2.999981e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 2.943023e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 3.045943e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 3.109531e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 3.508758e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 2.945323e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
Elapsed time = 2.995303e-03 seconds | threads=2 | OMP_SCHEDULE=guided,1
