Schedule = guided | Threads = 8 | Chunk = 100
Elapsed time = 1.771148e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 3.363206e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.534007e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 2.910789e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.766107e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.698167e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.463362e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 3.481305e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.688250e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.525023e-01 seconds | threads=8 | OMP_SCHEDULE=guided,100
