Schedule = guided | Threads = 4 | Chunk = 100
Elapsed time = 4.683272e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.594735e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.691140e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.681813e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.820442e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.468940e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.678963e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.655187e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.667779e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 4.502571e-01 seconds | threads=4 | OMP_SCHEDULE=guided,100
