Schedule = guided | Threads = 8 | Chunk = 1
Elapsed time = 4.265885e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 4.285663e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 4.256549e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 4.433459e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 2.289609e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 4.451699e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 4.286086e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 4.224978e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 2.392937e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 2.418267e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
