Schedule = guided | Threads = 16 | Chunk = 100
Elapsed time = 6.998386e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 6.804569e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.485757e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 6.979816e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.120399e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.089134e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 6.932253e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 6.870180e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.030880e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.308992e-04 seconds | threads=16 | OMP_SCHEDULE=guided,100
