Schedule = guided | Threads = 1 | Chunk = 1
Elapsed time = 2.300915e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 2.290095e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 2.280728e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 5.844031e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 2.301302e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 5.569171e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 2.304261e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 2.247785e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 4.473562e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
Elapsed time = 2.248642e-01 seconds | threads=1 | OMP_SCHEDULE=guided,1
