Schedule = guided | Threads = 2 | Chunk = 100
Elapsed time = 1.983586e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.990177e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.877413e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.366470e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.977833e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.343740e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 2.000844e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.992449e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.344077e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
Elapsed time = 1.345333e-01 seconds | threads=2 | OMP_SCHEDULE=guided,100
