Schedule = guided | Threads = 16 | Chunk = 1
Elapsed time = 5.355825e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.374580e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.596028e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.045360e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.657786e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.948207e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.176071e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.221008e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.183398e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
Elapsed time = 5.078059e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1
