Schedule = guided | Threads = 8 | Chunk = 100
Elapsed time = 7.513994e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 6.951187e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 6.425465e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 6.277785e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 5.942006e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 6.973892e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 6.475309e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 5.583381e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 6.277300e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 5.596047e-04 seconds | threads=8 | OMP_SCHEDULE=guided,100
