Schedule = guided | Threads = 32 | Chunk = 1000
Elapsed time = 3.056080e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.288381e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.837847e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.658745e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.237048e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.361029e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.230478e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.244332e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.279081e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.823561e-03 seconds | threads=32 | OMP_SCHEDULE=guided,1000
