Schedule = guided | Threads = 32 | Chunk = 100
Elapsed time = 6.661138e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 7.140681e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 6.138458e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 6.103899e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 6.690433e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 5.985722e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 5.875781e-02 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 2.022843e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 1.242656e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
Elapsed time = 2.102654e-01 seconds | threads=32 | OMP_SCHEDULE=guided,100
