Schedule = guided | Threads = 32 | Chunk = 1
Elapsed time = 4.033227e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 3.912915e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 2.444334e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 3.992533e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 4.014188e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 4.015049e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 3.979022e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 3.954157e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 3.978737e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
Elapsed time = 3.928144e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1
