Schedule = guided | Threads = 8 | Chunk = 1
Elapsed time = 9.601736e-02 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 1.442178e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 6.024514e-02 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 1.469896e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 6.195894e-02 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 9.668856e-02 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 5.563832e-02 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 3.317853e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 6.077562e-02 seconds | threads=8 | OMP_SCHEDULE=guided,1
Elapsed time = 1.446655e-01 seconds | threads=8 | OMP_SCHEDULE=guided,1
