Performance results for ./matrix/2.mtx | threads=8 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,937,580,463 | 36,161,314 | 1,057,434 | 107,367
2,935,725,722 | 28,569,418 | 1,289,067 | 125,197
2,935,858,867 | 28,613,458 | 422,563 | 130,808
2,935,734,460 | 28,680,546 | 492,364 | 141,599
2,937,589,731 | 36,226,363 | 750,456 | 106,153
2,937,574,247 | 36,207,158 | 566,742 | 105,487
2,935,821,426 | 28,616,232 | 1,009,916 | 125,382
2,935,811,971 | 28,595,468 | 657,653 | 121,138
2,935,732,211 | 28,664,421 | 575,889 | 130,235
2,937,607,582 | 36,209,438 | 743,579 | 104,449
