Performance results for ./matrix/3.mtx | threads=4 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
56,141,188,840 | 1,087,147,037 | 475,320,439 | 29,275,781
56,141,162,080 | 1,030,015,900 | 473,957,271 | 28,603,484
56,141,123,009 | 816,392,750 | 335,100,787 | 19,296,931
56,141,255,076 | 1,087,101,515 | 475,190,387 | 29,063,374
56,141,183,832 | 1,086,166,382 | 475,378,560 | 29,288,595
56,141,116,265 | 1,086,716,072 | 475,343,769 | 28,730,321
56,141,187,865 | 1,084,824,412 | 475,200,815 | 29,160,348
56,141,191,244 | 1,086,474,535 | 475,295,241 | 29,271,857
56,141,936,513 | 1,086,403,698 | 476,272,446 | 30,025,807
56,141,163,266 | 1,086,943,642 | 475,163,492 | 28,730,441
