Performance results for ./matrix/2.mtx | threads=2 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,804,394,960 | 28,624,585 | 626,913 | 144,312
2,804,509,524 | 36,051,029 | 743,629 | 209,330
2,804,491,804 | 36,208,479 | 858,939 | 183,876
2,804,506,876 | 36,405,938 | 715,400 | 163,223
2,804,282,589 | 28,705,675 | 1,195,139 | 922,961
2,804,516,814 | 36,249,021 | 652,230 | 192,718
2,804,448,327 | 28,675,831 | 599,710 | 257,183
2,804,621,579 | 34,144,159 | 821,257 | 239,198
2,804,366,191 | 28,759,856 | 580,089 | 183,322
2,804,243,288 | 28,680,524 | 540,098 | 293,727
