Performance results for ./matrix/2.mtx | threads=32 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,813,494,800 | 36,261,370 | 886,727 | 218,677
2,805,407,036 | 28,890,467 | 670,674 | 189,375
2,805,314,120 | 28,746,976 | 748,367 | 209,931
2,805,364,768 | 28,886,482 | 788,859 | 203,647
2,805,185,919 | 28,836,792 | 707,838 | 174,743
2,805,548,542 | 28,774,252 | 788,130 | 199,402
2,810,628,875 | 35,196,248 | 751,270 | 218,671
2,805,191,560 | 28,721,103 | 719,633 | 220,539
2,805,444,132 | 28,688,108 | 704,583 | 276,680
2,811,280,367 | 36,140,718 | 1,008,484 | 226,561
