Performance results for ./matrix/4.mtx with 32 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
68,853,341,201 | 348,478,520 | 2,662,919 | 930,334
68,851,644,606 | 348,857,312 | 2,716,685 | 934,817
68,851,645,927 | 349,967,690 | 2,686,905 | 919,259
68,851,440,553 | 350,097,535 | 2,678,161 | 940,846
68,851,484,204 | 350,533,766 | 2,661,158 | 937,850
68,851,146,726 | 347,575,719 | 2,706,992 | 917,958
68,853,322,649 | 348,594,743 | 2,685,840 | 924,319
68,852,717,546 | 348,720,548 | 2,637,799 | 931,023
68,853,139,311 | 347,964,597 | 2,640,073 | 928,196
68,851,636,722 | 350,348,605 | 2,695,366 | 917,955
