Performance results for ./matrix/1.mtx with 4 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
569,738,992 | 5,767,470 | 146,273 | 42,577
569,738,794 | 5,767,070 | 132,489 | 34,267
569,740,384 | 5,763,536 | 145,533 | 35,467
569,738,226 | 5,765,670 | 161,784 | 35,429
569,744,383 | 5,758,601 | 133,701 | 36,028
569,734,404 | 5,761,730 | 129,620 | 33,095
569,727,463 | 5,761,864 | 138,411 | 36,119
569,725,318 | 5,747,814 | 139,136 | 33,813
569,722,854 | 5,756,163 | 134,741 | 35,800
569,735,511 | 5,770,296 | 140,736 | 34,311
