Performance results for ./matrix/2.mtx with 64 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,809,689,287 | 28,666,984 | 930,134 | 267,880
2,836,158,313 | 28,665,559 | 891,393 | 268,868
2,835,627,027 | 28,687,758 | 834,918 | 264,975
2,820,173,175 | 28,631,027 | 982,282 | 269,244
2,813,875,063 | 28,637,712 | 883,249 | 266,582
2,819,576,704 | 28,696,028 | 915,752 | 263,558
2,835,324,741 | 28,754,634 | 814,054 | 264,764
2,825,368,808 | 36,340,337 | 1,209,733 | 208,813
2,834,853,537 | 28,602,661 | 843,475 | 264,599
2,833,650,770 | 28,697,183 | 901,603 | 264,858
