Performance results for ./matrix/4.mtx with 1 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
68,837,524,414 | 359,980,886 | 4,017,141 | 2,033,562
68,837,524,424 | 360,840,106 | 3,985,938 | 2,030,381
68,837,524,416 | 360,040,549 | 3,897,325 | 2,030,932
68,837,524,420 | 361,352,910 | 3,956,428 | 2,029,672
68,837,524,429 | 359,473,524 | 3,915,866 | 2,026,213
68,837,524,429 | 362,206,969 | 3,932,259 | 2,030,063
68,837,524,409 | 359,417,022 | 3,893,532 | 2,040,754
68,837,524,430 | 361,696,981 | 3,947,783 | 2,019,393
68,837,524,420 | 361,738,744 | 3,911,403 | 2,033,567
68,837,524,410 | 360,798,945 | 3,983,265 | 2,022,804
