Performance results for ./matrix/2.mtx with 2 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,804,223,337 | 28,622,726 | 575,738 | 246,206
2,804,319,233 | 36,423,187 | 732,571 | 189,603
2,804,222,471 | 28,637,489 | 506,501 | 245,365
2,804,224,299 | 28,647,937 | 512,735 | 245,301
2,804,309,189 | 36,320,202 | 956,928 | 185,932
2,804,226,005 | 28,672,751 | 513,269 | 244,405
2,804,221,228 | 28,693,322 | 531,124 | 245,608
2,804,222,801 | 28,650,320 | 514,037 | 247,023
2,804,222,519 | 28,723,190 | 502,323 | 247,108
2,804,217,331 | 28,612,028 | 553,762 | 245,910
