Performance results for ./matrix/4.mtx with 8 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
68,841,737,763 | 356,155,542 | 3,014,717 | 1,243,822
68,841,734,757 | 354,722,117 | 3,032,352 | 1,227,491
68,841,741,615 | 351,335,114 | 3,082,980 | 1,229,408
68,841,739,514 | 353,743,200 | 3,107,119 | 1,246,565
68,841,735,357 | 352,594,530 | 3,113,721 | 1,226,371
68,841,753,534 | 351,589,352 | 3,068,165 | 1,236,252
68,841,734,955 | 351,241,487 | 3,100,168 | 1,226,793
68,841,734,909 | 351,451,424 | 3,118,613 | 1,231,126
68,841,739,173 | 357,771,265 | 3,075,071 | 1,240,442
68,841,738,330 | 352,751,895 | 3,063,850 | 1,235,856
