Performance results for ./matrix/2.mtx | threads=8 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,804,973,261 | 36,286,737 | 816,993 | 201,218
2,805,010,801 | 36,402,414 | 706,324 | 201,600
2,805,036,985 | 36,306,630 | 718,604 | 200,720
2,805,018,331 | 36,378,521 | 687,361 | 200,366
2,805,006,245 | 36,402,173 | 693,196 | 202,719
2,805,009,990 | 36,404,146 | 1,012,264 | 201,621
2,804,982,715 | 36,396,907 | 751,209 | 199,815
2,805,030,009 | 36,264,249 | 773,510 | 200,454
2,804,980,786 | 36,368,720 | 707,009 | 202,024
2,805,013,018 | 36,304,063 | 786,760 | 201,208
