Performance results for ./matrix/2.mtx | threads=4 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,804,547,807 | 36,351,354 | 661,532 | 202,365
2,804,541,363 | 36,385,004 | 687,735 | 200,661
2,804,556,642 | 36,334,326 | 711,031 | 202,126
2,804,542,283 | 36,349,980 | 864,040 | 200,222
2,804,551,153 | 36,303,252 | 831,317 | 202,016
2,804,554,267 | 36,321,885 | 652,008 | 203,424
2,804,564,284 | 36,292,520 | 676,979 | 202,810
2,804,582,863 | 36,300,285 | 1,026,307 | 200,485
2,804,550,699 | 36,391,468 | 730,830 | 201,093
2,804,546,764 | 36,298,735 | 704,419 | 204,924
