Performance results for ./matrix/2.mtx | threads=16 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,805,980,322 | 36,311,739 | 762,344 | 202,422
2,805,945,983 | 36,418,772 | 1,023,344 | 199,930
2,805,916,608 | 36,364,958 | 748,629 | 202,687
2,805,849,018 | 36,290,763 | 867,057 | 204,621
2,805,945,687 | 36,365,978 | 899,099 | 198,616
2,805,856,939 | 36,311,733 | 792,953 | 203,209
2,805,846,706 | 36,381,900 | 854,614 | 204,085
2,805,932,655 | 36,369,470 | 799,063 | 202,728
2,805,976,368 | 36,276,406 | 815,552 | 201,253
2,805,861,778 | 36,329,345 | 819,201 | 205,427
