Performance results for ./matrix/2.mtx | threads=64 | chunksize=1
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,804,231,252 | 36,417,473 | 796,566 | 209,585
2,804,233,852 | 36,431,024 | 887,164 | 209,519
2,804,231,218 | 36,314,669 | 949,991 | 212,210
2,804,233,665 | 36,345,813 | 983,062 | 207,638
2,804,232,528 | 36,420,591 | 1,143,039 | 208,210
2,804,237,695 | 36,390,828 | 972,886 | 211,157
2,804,231,196 | 36,368,418 | 900,130 | 209,766
2,804,233,428 | 36,363,489 | 986,798 | 208,544
2,804,234,927 | 36,448,632 | 926,524 | 210,523
2,804,237,024 | 36,397,768 | 831,995 | 209,726
