Schedule = guided | Threads = 8 | Chunk = 100
Elapsed time = 2.080672e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.958013e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.894813e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.606992e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 2.130466e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 2.118779e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.728070e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 1.154226e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 2.674774e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
Elapsed time = 2.303002e-02 seconds | threads=8 | OMP_SCHEDULE=guided,100
