Schedule = guided | Threads = 4 | Chunk = 1000
Elapsed time = 3.261685e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.312951e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.275150e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.397555e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.347193e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.314160e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.518033e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.096563e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.473755e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.144654e+00 seconds | threads=4 | OMP_SCHEDULE=guided,1000
