Schedule = guided | Threads = 64 | Chunk = 1000
Elapsed time = 2.241140e-01 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.035233e-01 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.736239e-01 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.279980e-01 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.103468e-01 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 9.538048e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 9.490278e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.162147e-01 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 9.307477e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 8.530902e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
