Schedule = guided | Threads = 16 | Chunk = 1000
Elapsed time = 1.826094e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.557064e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.527171e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.457504e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.504226e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.566700e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.327491e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.314446e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.538037e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.492706e-01 seconds | threads=16 | OMP_SCHEDULE=guided,1000
