Schedule = guided | Threads = 64 | Chunk = 1000
Elapsed time = 2.206651e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.886551e-03 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.119532e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.259958e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.023388e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.289560e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.386684e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.500997e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.323180e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.827952e-02 seconds | threads=64 | OMP_SCHEDULE=guided,1000
