Schedule = guided | Threads = 64 | Chunk = 100
Elapsed time = 2.348843e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 3.498638e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.792732e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.282723e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.241439e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.633131e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.579382e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.707131e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 1.602312e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 1.683528e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
