Schedule = guided | Threads = 16 | Chunk = 100
Elapsed time = 7.384170e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.574605e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 7.088782e-02 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 1.088808e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 2.271344e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 3.542766e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 4.295213e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 1.170065e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 1.170668e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
Elapsed time = 6.155234e-01 seconds | threads=16 | OMP_SCHEDULE=guided,100
