Schedule = guided | Threads = 1 | Chunk = 1000
Elapsed time = 4.633113e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.613403e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.658524e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.669593e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.663767e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.643782e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.974822e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.640612e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.641423e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
Elapsed time = 4.674777e-03 seconds | threads=1 | OMP_SCHEDULE=guided,1000
