Schedule = guided | Threads = 4 | Chunk = 1000
Elapsed time = 3.148473e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.528647e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.307277e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.442939e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.996473e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.988932e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 7.457877e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.100113e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.605804e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
Elapsed time = 3.182404e-01 seconds | threads=4 | OMP_SCHEDULE=guided,1000
