Schedule = guided | Threads = 64 | Chunk = 100
Elapsed time = 3.768727e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.839503e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 8.326258e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.704704e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 3.790894e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 2.750042e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 1.990824e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 1.131276e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 9.089739e-02 seconds | threads=64 | OMP_SCHEDULE=guided,100
Elapsed time = 1.842616e-01 seconds | threads=64 | OMP_SCHEDULE=guided,100
