Schedule = guided | Threads = 16 | Chunk = 1000
Elapsed time = 1.461523e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.541437e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.296428e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.511810e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.744868e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.632399e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.537260e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.358830e-03 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.506456e-02 seconds | threads=16 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.759211e-03 seconds | threads=16 | OMP_SCHEDULE=guided,1000
