Schedule = guided | Threads = 4 | Chunk = 100
Elapsed time = 1.500435e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.581419e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.620831e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.103771e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.718758e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.582049e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.583002e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.581617e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.295520e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
Elapsed time = 1.110915e-02 seconds | threads=4 | OMP_SCHEDULE=guided,100
