Schedule = guided | Threads = 2 | Chunk = 1000
Elapsed time = 2.219194e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.368349e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.257319e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.241153e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.346117e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.348871e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.364681e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.288131e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.359727e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
Elapsed time = 2.284248e+00 seconds | threads=2 | OMP_SCHEDULE=guided,1000
