Performance results for ./matrix/3.mtx | threads=1 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
49,263,915,136 | 793,308,735 | 341,369,397 | 187,921,122
49,263,916,791 | 800,188,686 | 341,162,899 | 185,830,996
49,263,940,378 | 1,085,471,214 | 480,170,673 | 330,409,070
49,263,916,695 | 793,790,379 | 341,051,036 | 180,929,379
49,263,939,629 | 1,084,610,585 | 479,902,029 | 322,450,590
49,263,941,818 | 1,081,210,916 | 480,195,519 | 329,203,095
49,263,940,602 | 1,084,548,971 | 479,572,334 | 330,280,943
49,263,938,065 | 1,081,004,679 | 480,311,530 | 329,948,527
49,263,936,128 | 1,075,983,606 | 483,744,667 | 346,601,061
49,263,919,890 | 794,803,490 | 341,573,140 | 190,668,702
