Performance results for ./matrix/2.mtx | threads=2 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,805,117,139 | 36,420,971 | 612,573 | 208,492
2,804,393,292 | 36,485,263 | 638,850 | 186,145
2,804,819,129 | 36,441,172 | 1,222,757 | 798,815
2,804,828,968 | 36,600,339 | 596,959 | 200,681
2,804,521,406 | 28,781,206 | 542,701 | 191,132
2,804,849,394 | 28,789,845 | 442,633 | 246,988
2,804,641,590 | 36,464,137 | 664,888 | 227,227
2,804,525,929 | 36,495,197 | 1,805,183 | 1,201,100
2,805,117,197 | 36,405,490 | 600,345 | 203,546
2,804,527,049 | 36,411,537 | 684,572 | 211,769
