Performance results for ./matrix/3.mtx | threads=16 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
49,268,526,180 | 796,105,395 | 339,621,695 | 39,997,886
49,268,616,207 | 795,877,049 | 340,111,366 | 48,379,004
49,268,564,932 | 797,098,978 | 340,325,039 | 77,125,331
49,268,595,445 | 1,031,221,712 | 477,710,853 | 117,422,497
49,268,538,732 | 1,028,199,423 | 483,593,936 | 159,764,682
49,268,596,749 | 795,430,773 | 339,372,029 | 47,824,159
49,268,549,774 | 795,910,718 | 339,984,205 | 53,182,700
49,268,605,227 | 1,031,571,866 | 477,979,635 | 165,729,609
49,268,535,955 | 801,711,508 | 339,373,842 | 81,128,858
49,268,545,620 | 796,369,667 | 340,677,237 | 35,183,098
