Performance results for ./matrix/3.mtx | threads=16 | chunksize=1
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
49,297,589,932 | 810,304,856 | 348,922,390 | 35,057,794
49,297,571,831 | 810,358,364 | 348,723,035 | 68,217,664
49,297,462,897 | 810,224,754 | 349,234,380 | 35,694,023
49,297,579,685 | 1,044,639,590 | 487,629,453 | 107,901,731
49,297,568,087 | 811,818,547 | 349,126,959 | 60,477,526
49,297,602,000 | 1,054,034,882 | 509,324,869 | 228,974,801
49,297,598,312 | 812,186,765 | 348,951,107 | 74,171,270
49,297,592,266 | 850,934,851 | 348,220,757 | 70,109,426
49,297,592,224 | 814,268,397 | 348,613,831 | 65,286,239
49,297,567,266 | 809,876,326 | 348,486,900 | 47,954,924
