Performance results for ./matrix/2.mtx | threads=32 | chunksize=1
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,825,142,640 | 36,729,085 | 1,009,647 | 368,608
2,829,321,615 | 36,761,803 | 989,505 | 459,979
2,831,286,675 | 36,821,933 | 1,312,998 | 351,802
2,822,804,672 | 36,768,644 | 1,112,357 | 461,811
2,827,940,906 | 36,810,591 | 1,053,487 | 399,845
2,824,456,301 | 36,718,800 | 968,206 | 413,449
2,825,462,391 | 36,612,024 | 1,023,605 | 429,737
2,821,417,240 | 36,722,231 | 1,017,122 | 433,982
2,829,491,643 | 29,043,588 | 881,454 | 458,984
2,829,338,065 | 36,830,610 | 923,174 | 414,888
