Performance results for ./matrix/1.mtx
L1-loads | L1-misses | LLC-loads | LLC-misses
592,766,406 | 5,754,858 | 68,554 | 8,717
592,766,406 | 5,749,865 | 87,429 | 7,276
592,766,407 | 5,764,694 | 86,546 | 7,087
592,766,413 | 5,758,036 | 79,381 | 8,069
592,766,412 | 5,763,978 | 70,368 | 7,490
592,766,406 | 5,748,412 | 92,345 | 6,518
592,766,406 | 5,748,262 | 118,619 | 6,206
592,766,407 | 5,742,814 | 81,047 | 11,827
592,766,418 | 5,770,563 | 73,831 | 7,866
592,766,412 | 5,765,992 | 67,333 | 6,965
