Performance results for ./matrix/3.mtx
L1-loads | L1-misses | LLC-loads | LLC-misses
55,407,595,771 | 801,041,216 | 325,134,568 | 17,823,053
55,407,595,769 | 794,708,386 | 324,484,482 | 16,889,822
55,407,595,771 | 794,111,381 | 324,470,632 | 19,998,829
55,407,595,774 | 796,746,142 | 324,898,292 | 17,903,944
55,407,595,772 | 796,524,993 | 324,944,916 | 17,530,332
55,407,595,774 | 795,209,534 | 324,510,871 | 17,484,075
55,407,595,775 | 794,733,240 | 324,531,297 | 18,929,083
55,407,595,766 | 795,842,929 | 324,387,099 | 17,851,551
55,407,595,773 | 953,763,925 | 443,215,680 | 24,383,966
55,407,595,778 | 956,720,930 | 441,627,167 | 27,631,932
