Performance results for ./matrix/5.mtx
L1-loads | L1-misses | LLC-loads | LLC-misses
133,018,564,249 | 410,799,446 | 25,849,249 | 15,072,656
133,018,564,249 | 413,763,472 | 25,555,872 | 15,423,637
133,018,564,248 | 414,996,561 | 28,195,136 | 15,734,134
133,018,564,248 | 416,980,941 | 28,144,981 | 15,726,432
133,018,564,244 | 414,771,886 | 28,147,780 | 15,730,076
133,018,564,246 | 418,242,694 | 28,441,005 | 16,122,841
133,018,564,247 | 413,582,903 | 28,660,704 | 15,723,070
133,018,564,253 | 417,048,140 | 28,205,059 | 15,697,705
133,018,564,249 | 415,045,116 | 28,152,144 | 15,737,579
133,018,564,254 | 412,645,567 | 28,255,243 | 15,725,715
