Performance results for ./matrix/2.mtx
L1-loads | L1-misses | LLC-loads | LLC-misses
2,917,265,129 | 28,604,051 | 477,781 | 109,468
2,917,265,136 | 28,686,484 | 368,385 | 101,662
2,917,265,135 | 28,638,643 | 352,946 | 104,490
2,917,265,131 | 28,605,594 | 366,444 | 104,227
2,917,265,129 | 28,654,719 | 490,246 | 103,630
2,917,265,140 | 28,683,891 | 402,152 | 102,141
2,917,265,130 | 28,655,407 | 363,192 | 105,409
2,917,265,130 | 28,604,423 | 355,820 | 105,384
2,917,265,137 | 28,642,680 | 474,189 | 109,398
2,917,265,136 | 28,609,141 | 375,848 | 109,461
