Performance results for ./matrix/1.mtx
run | L1-loads | L1-misses | LLC-loads | LLC-misses
569,525,848 | 6,371,130 | 100,150 | 21,404
569,525,851 | 6,354,362 | 101,493 | 16,861
569,525,895 | 5,754,216 | 237,669 | 17,678
569,525,856 | 6,368,610 | 115,725 | 16,407
569,525,846 | 6,371,494 | 97,838 | 16,022
569,525,897 | 6,354,116 | 100,565 | 14,476
569,525,894 | 6,358,487 | 87,781 | 14,905
569,525,851 | 5,740,373 | 324,606 | 17,293
569,525,886 | 5,754,859 | 176,959 | 15,430
569,525,886 | 5,746,534 | 256,481 | 15,433
