Performance results for ./matrix/2.mtx
run | L1-loads | L1-misses | LLC-loads | LLC-misses
2,804,022,743 | 36,205,946 | 689,991 | 191,426
2,804,022,733 | 28,613,188 | 1,041,704 | 242,839
2,804,022,739 | 28,605,902 | 943,529 | 240,565
2,804,022,734 | 28,544,300 | 599,669 | 237,651
2,804,022,741 | 36,255,722 | 746,652 | 191,429
2,804,022,748 | 28,580,024 | 569,062 | 235,402
2,804,022,736 | 28,575,612 | 681,843 | 233,354
2,804,022,742 | 28,612,373 | 1,022,855 | 242,739
2,804,022,735 | 36,204,585 | 709,430 | 193,015
2,804,022,741 | 28,643,387 | 1,131,313 | 240,694
