Performance results for ./matrix/4.mtx
run | L1-loads | L1-misses | LLC-loads | LLC-misses
68,811,563,272 | 356,952,581 | 4,041,866 | 1,953,028
68,811,563,175 | 352,911,529 | 2,948,575 | 1,010,981
68,811,563,171 | 351,741,035 | 3,047,101 | 1,001,426
68,811,563,180 | 350,895,415 | 3,049,320 | 1,066,366
68,811,563,184 | 350,736,071 | 3,107,001 | 1,067,914
68,811,563,276 | 359,214,454 | 3,991,777 | 1,955,563
68,811,563,190 | 351,109,846 | 3,069,058 | 1,075,500
68,811,563,290 | 355,582,814 | 4,057,411 | 1,951,908
68,811,563,297 | 356,533,062 | 3,993,787 | 1,945,586
68,811,563,238 | 356,960,817 | 3,980,779 | 1,961,631
